,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
166,Lexus,2005,Nigerian Used,169361,4700,Petrol,Automatic,"4,515,000",SUV
167,Mercedes-Benz,2007,Nigerian Used,248916,3500,Petrol,Automatic,"3,591,000",SUV
168,Ford,2013,Nigerian Used,146127,3500,Petrol,Automatic,"3,675,000",SUV
169,Land Rover,2011,Foreign Used,223592,5000,Petrol,Automatic,"13,125,000",SUV
170,Toyota,2013,Nigerian Used,84292,1800,Petrol,Automatic,"3,045,000",
171,Lexus,2004,Nigerian Used,204939,3300,Petrol,Automatic,"4,680,000",SUV
172,Mercedes-Benz,2006,Nigerian Used,259700,3500,Petrol,Automatic,"3,622,500",SUV
173,Mercedes-Benz,2014,Foreign Used,306294,2000,Petrol,Automatic,"5,900,000",
174,Toyota,2010,Foreign Used,162621,3500,Petrol,Automatic,"8,840,000",SUV
175,Mercedes-Benz,2010,Nigerian Used,140669,3500,Petrol,Automatic,"5,775,000",SUV
176,Toyota,2008,Nigerian Used,164682,3500,Petrol,Automatic,"4,725,000",
177,Lexus,2007,Nigerian Used,247223,3500,Petrol,Automatic,"3,360,000",
178,Toyota,2008,Nigerian Used,137201,2400,Petrol,Automatic,"7,280,000",
179,Lexus,2020,Foreign Used,27550,3500,Petrol,Automatic,"32,550,000",SUV
180,Chevrolet,2005,Foreign Used,139572,3400,Petrol,Automatic,"3,675,000",SUV
181,Lexus,2020,Foreign Used,27550,3500,Petrol,Automatic,"32,550,000",SUV
182,Toyota,2008,Nigerian Used,109660,3500,Petrol,Automatic,"3,307,500",SUV
183,Mercedes-Benz,2008,Nigerian Used,87535,55009,Petrol,Automatic,"8,320,000",
184,Lexus,2007,Foreign Used,99927,3500,Petrol,Automatic,"3,675,000",
185,Mercedes-Benz,2011,Nigerian Used,54162,3500,Petrol,Automatic,"5,250,000",SUV
186,Nissan,2012,Nigerian Used,128748,3500,Petrol,CVT,"3,990,000",SUV
187,Toyota,2013,Foreign Used,160031,2500,Petrol,Automatic,"7,072,000",
188,Mercedes-Benz,2010,Nigerian Used,142379,3500,Petrol,Automatic,"3,780,000",
